D0,c 0.000001,c 0.000003,c 0.00001,c 0.00003,c 0.0001,c 0.0003
14,1.43E-06,4.28E-06,1.43E-05,4.28E-05,1.43E-04,4.28E-04
14.5,4.27E-06,1.28E-05,4.27E-05,1.28E-04,4.27E-04,1.28E-03
15,1.28E-05,3.85E-05,1.28E-04,3.84E-04,1.28E-03,3.80E-03
15.5,3.86E-05,1.16E-04,3.86E-04,1.15E-03,3.82E-03,1.12E-02
16,1.17E-04,3.50E-04,1.16E-03,3.47E-03,1.13E-02,3.18E-02
16.5,3.53E-04,1.06E-03,3.50E-03,1.03E-02,3.21E-02,8.25E-02
17,1.07E-03,3.19E-03,1.04E-02,2.95E-02,8.34E-02,1.82E-01
17.5,3.24E-03,9.55E-03,2.99E-02,7.76E-02,1.84E-01,3.31E-01
18,9.71E-03,2.76E-02,7.87E-02,1.74E-01,3.33E-01,5.00E-01
18.5,2.81E-02,7.35E-02,1.76E-01,3.21E-01,5.03E-01,6.56E-01
19,7.48E-02,1.67E-01,3.24E-01,4.91E-01,6.59E-01,7.78E-01
19.5,1.70E-01,3.12E-01,4.94E-01,6.49E-01,7.81E-01,8.64E-01
20,3.16E-01,4.82E-01,6.52E-01,7.73E-01,8.65E-01,9.19E-01
21,6.46E-01,7.69E-01,8.62E-01,9.17E-01,9.53E-01,9.73E-01
22,8.60E-01,9.15E-01,9.52E-01,9.72E-01,9.85E-01,9.91E-01
23,9.51E-01,9.72E-01,9.84E-01,9.91E-01,9.95E-01,9.97E-01
24,9.84E-01,9.91E-01,9.95E-01,9.97E-01,9.98E-01,9.99E-01
25,9.95E-01,9.97E-01,9.98E-01,9.99E-01,9.99E-01,1.00E+00
