D0,M 0.0003,N 0.0003,O 0.0003,MN 0.0003,MNO 0.0003,M 0.0001,N 0.0001,O 0.0001,MN 0.0001,MNO 0.0001,M 0.00003,N 0.00003,O 0.00003,MN 0.00003,MNO 0.00003,M 0.00001,N 0.00001,O 0.00001,MN 0.00001,MNO 0.00001,M 0.000003,N 0.000003,O 0.000003,MN 0.000003,MNO 0.000003,M 0.000001,N 0.000001,O 0.000001,MN 0.000001,MNO 0.000001
1.00,3.33E-01,3.33E-01,3.33E-01,1.11E-10,5.04E-21,3.33E-01,3.33E-01,3.33E-01,3.72E-11,5.60E-22,3.33E-01,3.33E-01,3.33E-01,1.11E-11,5.04E-23,3.33E-01,3.33E-01,3.33E-01,3.72E-12,5.60E-24,3.33E-01,3.33E-01,3.33E-01,1.11E-12,5.04E-25,3.33E-01,3.33E-01,3.33E-01,3.72E-13,5.60E-26
1.50,3.33E-01,3.33E-01,3.33E-01,8.53E-08,8.48E-17,3.33E-01,3.33E-01,3.33E-01,2.84E-08,9.42E-18,3.33E-01,3.33E-01,3.33E-01,8.53E-09,8.48E-19,3.33E-01,3.33E-01,3.33E-01,2.84E-09,9.42E-20,3.33E-01,3.33E-01,3.33E-01,8.53E-10,8.48E-21,3.33E-01,3.33E-01,3.33E-01,2.84E-10,9.42E-22
2.00,3.33E-01,3.33E-01,3.33E-01,9.29E-05,2.89E-12,3.33E-01,3.33E-01,3.33E-01,3.10E-05,3.21E-13,3.33E-01,3.33E-01,3.33E-01,9.29E-06,2.89E-14,3.33E-01,3.33E-01,3.33E-01,3.10E-06,3.21E-15,3.33E-01,3.33E-01,3.33E-01,9.29E-06,2.89E-14,3.33E-01,3.33E-01,3.33E-01,3.10E-07,3.21E-17
2.05,3.33E-01,3.33E-01,3.33E-01,1.89E-04,8.41E-12,3.33E-01,3.33E-01,3.33E-01,6.31E-05,9.35E-13,3.33E-01,3.33E-01,3.33E-01,1.89E-05,8.42E-14,3.33E-01,3.33E-01,3.33E-01,6.31E-06,9.35E-15,3.33E-01,3.33E-01,3.33E-01,1.89E-06,8.42E-16,3.33E-01,3.33E-01,3.33E-01,6.31E-07,9.35E-17
2.15,3.33E-01,3.33E-01,3.34E-01,7.87E-04,7.18E-11,3.33E-01,3.33E-01,3.33E-01,2.63E-04,8.00E-12,3.33E-01,3.33E-01,3.33E-01,7.90E-05,7.20E-13,3.33E-01,3.33E-01,3.33E-01,2.63E-05,8.00E-14,3.33E-01,3.33E-01,3.33E-01,7.90E-06,7.20E-15,3.33E-01,3.33E-01,3.33E-01,2.63E-06,8.01E-16
2.25,3.31E-01,3.31E-01,3.34E-01,3.26E-03,6.15E-10,3.33E-01,3.33E-01,3.34E-01,1.10E-03,6.90E-11,3.33E-01,3.33E-01,3.33E-01,3.31E-04,6.24E-12,3.33E-01,3.33E-01,3.33E-01,1.11E-04,6.94E-13,3.33E-01,3.33E-01,3.33E-01,3.32E-05,6.25E-14,3.33E-01,3.33E-01,3.33E-01,1.11E-05,6.94E-15
2.35,3.25E-01,3.25E-01,3.38E-01,1.31E-02,5.13E-09,3.30E-01,3.30E-01,3.35E-01,4.57E-03,5.95E-10,3.32E-01,3.32E-01,3.34E-01,1.39E-03,5.44E-11,3.33E-01,3.33E-01,3.33E-01,4.66E-04,6.08E-12,3.33E-01,3.33E-01,3.33E-01,1.40E-04,5.48E-13,3.33E-01,3.33E-01,3.33E-01,4.67E-05,6.09E-14
2.45,3.02E-01,3.02E-01,3.49E-01,4.67E-02,3.82E-08,3.21E-01,3.21E-01,3.39E-01,1.81E-02,4.93E-09,3.29E-01,3.29E-01,3.35E-01,5.78E-03,4.72E-10,3.32E-01,3.32E-01,3.34E-01,1.96E-03,5.35E-11,3.33E-01,3.33E-01,3.34E-01,5.93E-04,4.85E-12,3.33E-01,3.33E-01,3.33E-01,1.98E-04,5.40E-13
2.55,2.49E-01,2.49E-01,3.75E-01,1.26E-01,2.16E-07,2.92E-01,2.92E-01,3.54E-01,6.14E-02,3.51E-08,3.18E-01,3.18E-01,3.41E-01,2.26E-02,3.88E-09,3.28E-01,3.28E-01,3.36E-01,8.13E-03,4.65E-10,3.32E-01,3.32E-01,3.34E-01,2.51E-03,4.30E-11,3.33E-01,3.33E-01,3.34E-01,8.43E-04,4.82E-12
2.65,1.74E-01,1.74E-01,4.13E-01,2.39E-01,8.65E-07,2.32E-01,2.32E-01,3.84E-01,1.52E-01,1.84E-07,2.84E-01,2.84E-01,3.58E-01,7.37E-02,2.67E-08,3.13E-01,3.13E-01,3.44E-01,3.10E-02,3.74E-09,3.26E-01,3.26E-01,3.37E-01,1.03E-02,3.74E-10,3.31E-01,3.31E-01,3.35E-01,3.57E-03,4.30E-11
